Department,Role,Question,Keywords,Difficulty
Engineering,Frontend Developer,Explain the difference between controlled and uncontrolled components in React.,"controlled, uncontrolled, state, props, refs, useRef, useState, DOM, forms, virtual DOM, event handler, value, defaultValue, two-way binding, React, re-render, component lifecycle, unidirectional data flow",Medium
Engineering,Frontend Developer,Walk me through how you would optimize a React application that has severe performance and re-rendering issues.,"React.memo, useMemo, useCallback, code splitting, lazy loading, Suspense, debounce, throttle, bundle size, Lighthouse, profiling, virtualized lists, React window, state colocation, Redux selector optimization, unnecessary re-renders",Hard
Engineering,Backend Developer,How would you design a rate-limiter for a public REST API?,"rate limiter, token bucket, leaky bucket, sliding window, fixed window, Redis, caching, IP address, user ID, API gateway, HTTP 429, Too Many Requests, throughput, concurrency, load balancing, Nginx",Hard
Engineering,Backend Developer,What is the N+1 query problem and how do you solve it?,"N+1, ORM, database querying, Django, SQLAlchemy, join, select_related, prefetch_related, Eager Loading, Lazy Loading, SQL, database performance, batching, DataLoader, GraphQL",Medium
Engineering,Full Stack Developer,"Explain the architecture you would use to build a scalable, real-time chat application.","WebSockets, Socket.io, Redis Pub/Sub, microservices, load balancer, sticky sessions, horizontal scaling, Cassandra, NoSQL, message broker, Kafka, RabbitMQ, React, Node.js, connection pool",Hard
Engineering,DevOps Engineer,Explain how Kubernetes handles pod scheduling and what factors influence it.,"Kubernetes, K8s, kube-scheduler, node selector, affinity, anti-affinity, taints, tolerations, resource limits, resource requests, CPU, memory, priority classes, eviction, nodes, control plane",Hard
Engineering,DevOps Engineer,What is the difference between blue-green and canary deployments?,"blue-green, canary, deployment strategy, traffic routing, rollback, zero-downtime, staging, production, load balancer, A/B testing, risk mitigation, continuous delivery, pipeline, ArgoCD",Medium
Engineering,Data Engineer,Explain the concept of exactly-once semantics in Apache Kafka.,"Kafka, exactly-once, transactional API, idempotence, producer, consumer, offsets, log append, messaging semantics, stream processing, Kafka Streams, at-least-once, at-most-once, deduplication, acknowledging",Hard
Engineering,Data Scientist,"How do you evaluate whether a machine learning model is overfitting, and how do you fix it?","overfitting, bias-variance tradeoff, cross-validation, validation set, training loss, validation loss, regularization, L1, L2, Lasso, Ridge, dropout, early stopping, pruning, generalization, unseen data, hyperparameter tuning",Medium
Engineering,AI/ML Engineer,What is a RAG pipeline and how would you architect one for low-latency retrieval?,"RAG, Retrieval-Augmented Generation, vector database, Pinecone, Milvus, embeddings, LLM, prompt engineering, semantic search, chunking strategy, cosine similarity, index, approximate nearest neighbor, ANN, FAISS, caching, context window",Hard
Engineering,AI/ML Engineer,Explain how attention mechanisms work in transformer architectures.,"Transformer, self-attention, query, key, value, matrices, dot product, softmax, multi-head attention, context, sequence, weights, positional encoding, BERT, GPT, NLP, sequence-to-sequence",Medium
Engineering,Mobile Developer,How do you manage state and side effects in a complex React Native or Flutter application?,"Redux, Context API, MobX, BLoC, Provider, Riverpod, state management, side effects, async, Redux Thunk, Redux Saga, UI thread, performance, re-rendering, local storage, AsyncStorage",Medium
Engineering,QA Engineer,Describe your approach to building an automated testing framework from scratch.,"Selenium, Playwright, Cypress, Page Object Model, POM, TDD, BDD, Cucumber, CI/CD integration, assertion library, test data management, reporting, cross-browser, parallel execution, maintainability, flaky tests",Medium
Human Resources,Any,Tell me about a technically challenging project you led and the decisions you made.,"leadership, project management, technical trade-offs, architecture, challenges, roadblocks, communication, team coordination, planning, execution, impact, results, scaling, decision-making, ownership, responsibility",Medium
Human Resources,Any,How do you approach debugging a production issue under pressure?,"debugging, production, incident response, logs, monitoring, Datadog, Prometheus, rollback, hotfix, root cause analysis, RCA, communication, calm, prioritization, reproduction, testing, isolation",Medium
Human Resources,Any,Describe a time you had to resolve a serious conflict between team members regarding a technical architecture decision.,"conflict resolution, empathy, active listening, technical trade-offs, pros and cons, consensus, compromise, documentation, proof of concept, PoC, respect, team dynamics, leadership, mediation, escalation",Hard
